"rank_data","s_name","s_district","n_rating","students_num","teacher_ratio"
NA,"Foss High School","Tacoma School District, WA","C","887","21:1"
NA,"Kiona-Benton City High School","Kiona-Benton City School District, WA","C","481","20:1"
NA,"Heritage High School","Evergreen Public Schools, WA","C","1928","21:1"
NA,"Battle Ground High School","Battle Ground School District, WA","C","2179","21:1"
NA,"Hudson's Bay High School","Vancouver School District, WA","C","1377","22:1"
NA,"Naselle-Grays River Valley Junior/Senior High School","Naselle-Grays River Valley School District, WA","C","153","30:1"
NA,"Lake Quinault High School","Lake Quinault School District, WA","C","94","10:1"
NA,"Granite Falls High School","Granite Falls School District, WA","C","609","21:1"
NA,"Okanogan High School","Okanogan School District, WA","C","271","18:1"
NA,"Hoquiam High School","Hoquiam School District, WA","C","490","21:1"
NA,"Clover Park High School","Clover Park School District, WA","C","1222","19:1"
NA,"Oroville Middle/High School","Oroville School District, WA","C","253","14:1"
NA,"School for the Entrepreneur","Marysville School District, WA","C","395","23:1"
NA,"Almira Coulee Hartline High School","Coulee-Hartline School District, WA","C","80","10:1"
NA,"Connell High School","North Franklin School District, WA","C","589","20:1"
NA,"Hayes Freedom High School","Camas School District, WA","C","136","18:1"
NA,"Onalaska High School","Onalaska School District, WA","C","241","18:1"
NA,"Quilcene School","Quilcene School District, WA","C","202","12:1"
NA,"Academy of Construction & Engineering","Marysville School District, WA","C","325","20:1"
NA,"Warden High School","Warden School District, WA","C","322","24:1"
NA,"Yakima Online School","Yakima School District, WA","C","123","61:1"
NA,"Prescott Junior/Senior High School","Prescott School District, WA","C","145","15:1"
NA,"Othello High School","Othello School District, WA","C","1048","19:1"
NA,"Sprague High School","Sprague School District, WA","C","29","5:1"
NA,"Orting High School","Orting School District, WA","C","740","22:1"
NA,"Shelton High School","Shelton School District, WA","C","1064","20:1"
NA,"Elma High School","Elma School District, WA","C","547","20:1"
NA,"Davis High School","Yakima School District, WA","C","2099","21:1"
NA,"Sunnyside High School","Sunnyside School District, WA","C","1858","22:1"
NA,"Insight School of Washington","Quillayute Valley School District, WA","C","1910","40:1"
NA,"Oakville High School","Oakville School District, WA","C","106","14:1"
NA,"Wahluke High School","Wahluke School District, WA","C","557","17:1"
NA,"Riverside High School","Riverside School District, WA","C","464","18:1"
NA,"Naches Valley High School","Naches Valley School District, WA","C","475","20:1"
NA,"Challenger High School","Bethel School District, WA","C","317","22:1"
NA,"Bethel High School","Bethel School District, WA","C","1629","23:1"
NA,"Tekoa High School","Tekoa School District, WA","C","89","10:1"
NA,"Wellpinit High School","Wellpinit School District, WA","C","84","7:1"
NA,"Soap Lake Middle/High School","Soap Lake School District, WA","C","219","16:1"
NA,"Pasco Senior High School","Pasco School District, WA","C","1989","19:1"
NA,"Concrete High School","Concrete School District, WA","C","246","17:1"
NA,"Three Rivers HomeLink","Richland School District, WA","C","475","48:1"
NA,"Sequoia High School","Everett School District, WA","C","246","12:1"
NA,"Neah Bay Junior/Senior High School","Cape Flattery School District, WA","C-","173","11:1"
NA,"Quincy High School","Quincy School District, WA","C-","833","20:1"
NA,"Marysville Arts & Technology High School","Marysville School District, WA","C-","322","20:1"
NA,"Castle Rock High School","Castle Rock School District, WA","C-","387","19:1"
NA,"Choice Alternative School","Shelton School District, WA","C-","207","18:1"
NA,"Toppenish High School","Toppenish School District, WA","C-","891","21:1"
NA,"Brewster High School","Brewster School District, WA","C-","247","15:1"
NA,"Sultan Senior High School","Sultan School District, WA","C-","550","21:1"
NA,"ACES High School","Mukilteo School District, WA","C-","199","17:1"
NA,"Mary M. Knight High School","Mary M. Knight School District, WA","C-","98","10:1"
NA,"Cusick Junior/Senior High School","Cusick School District, WA","C-","150","12:1"
NA,"Lewis & Clark High School","Vancouver School District, WA","C-","107","17:1"
NA,"Mabton Junior/Senior High School","Mabton School District, WA","C-","407","17:1"
NA,"Crossroads High School","Granite Falls School District, WA","C-","168","17:1"
NA,"Yelm Extension School","Yelm School District, WA","C-","125","22:1"
NA,"Grandview High School","Grandview School District, WA","D+","836","23:1"
NA,"Granger High School","Granger School District, WA","D+","431","19:1"
NA,"Compass High School","Grandview School District, WA","D+","100","16:1"
NA,"Stanton Academy","Yakima School District, WA","D+","383","20:1"
NA,"State Street High School","Sedro-Woolley School District, WA","D+","271","31:1"
NA,"Summit View High School","Battle Ground School District, WA","D+","409","31:1"
NA,"New Horizons High School","Pasco School District, WA","D+","267","20:1"
NA,"Cedarcrest Junior High School","Bethel School District, WA","NG","627","19:1"
NA,"Bryant Center","Spokane School District, WA","NG","619","40:1"
NA,"Iq Academy Washington","Evergreen Public Schools, WA","NG","610","35:1"
NA,"Centralia Middle School","Centralia School District, WA","NG","540","19:1"
NA,"Oasis K-12","Orcas Island School District, WA","NG","472","28:1"
NA,"Columbia Virtual Academy","Valley School District, WA","NG","463","37:1"
NA,"iGrad","Kent School District, WA","NG","456","118:1"
NA,"Northwest Allprep","Toppenish School District, WA","NG","454","70:1"
NA,"Washington Academy of Arts & Technology","East Valley School District (Spokane), WA","NG","394","45:1"
NA,"Mead Education Partnership Program","Mead School District, WA","NG","392","35:1"
NA,"West Valley High School Freshman Campus","West Valley School District (Yakima), WA","NG","388","21:1"
NA,"Spokane Area Professional-Technical Skills Center","Spokane School District, WA","NG","383","22:1"
NA,"Meridian Parent Partnership Program","Meridian School District, WA","NG","348","30:1"
NA,"Bellevue Big Picture School","Bellevue School District, WA","NG","343","14:1"
NA,"GRAVITY High School","Tumwater, WA","NG","326","—"
NA,"Skagit Family Learning Center","Mount Vernon School District, WA","NG","321","86:1"
NA,"Contract Based Education (CBE) Alternative Programs","West Valley School District (Spokane), WA","NG","318","26:1"
NA,"Libby Center","Spokane School District, WA","NG","314","17:1"
NA,"Secondary Learning Center","Renton School District, WA","NG","311","18:1"
NA,"Edmonds Career Access Program","Edmonds School District, WA","NG","305","—"
NA,"Shoreline-Monroe High School","Monroe School District, WA","NG","298","—"
NA,"Scriber Lake High School","Edmonds School District, WA","NG","287","22:1"
NA,"Home Connection Parent Partnership Program","Oak Harbor School District, WA","NG","283","66:1"
NA,"Kennewick Mid-Columbia Parent Partnership","Kennewick School District, WA","NG","282","39:1"
NA,"Bates Technical High School","Tacoma, WA","NG","268","32:1"
NA,"Seattle World School","Seattle Public Schools, WA","NG","250","13:1"
NA,"Westside High School","Wenatchee School District, WA","NG","244","19:1"
NA,"Legacy High School","Evergreen Public Schools, WA","NG","235","29:1"
NA,"Youth Re-Engagement Program","Monroe School District, WA","NG","233","—"
NA,"College Place High School","College Place School District, WA","NG","231","26:1"
NA,"Discovery Alternative High School","South Kitsap School District, WA","NG","217","22:1"
NA,"Columbia Virtual Academy - Sultan","Sultan School District, WA","NG","203","—"
NA,"Discovery High School","Longview School District, WA","NG","199","43:1"
NA,"Willie Steward Academy - A Reengagement Center","Tacoma School District, WA","NG","196","—"
NA,"South Sound High School","North Thurston Public Schools, WA","NG","196","22:1"
NA,"Middle College High School","Seattle Public Schools, WA","NG","196","19:1"
NA,"Renaissance Alternative High School","Bremerton School District, WA","NG","195","19:1"
NA,"Valley Academy of Learning","Wenatchee School District, WA","NG","195","48:1"
NA,"Lynden Academy","Lynden School District, WA","NG","195","47:1"
NA,"Tacoma CC - Fres Start","Tacoma School District, WA","NG","195","—"
NA,"Columbia Virtual Academy - Kettle Falls","Kettle Falls School District, WA","NG","191","38:1"
NA,"Lake Washington Technical Academy","Lake Washington Institute of Technology, WA","NG","188","—"
NA,"Spokane Valley Transition School","West Valley School District (Spokane), WA","NG","186","43:1"
NA,"Career Link High School Completion Program","Highline School District, WA","NG","181","—"
NA,"Lincoln High School","Walla Walla Public Schools, WA","NG","177","14:1"
NA,"Lyman Elementary School","Sedro-Woolley School District, WA","NG","169","16:1"
NA,"Kennewick Alternative Learning Center","Kennewick School District, WA","NG","164","19:1"
NA,"Career Academy at Truman High School","Federal Way Public Schools, WA","NG","161","44:1"
NA,"Central Kitsap Off-Campus Program","Central Kitsap School District, WA","NG","159","29:1"
NA,"Eagle High School","Toppenish School District, WA","NG","158","17:1"
NA,"Vancouver Public Schools Supplemental Online Courses","Vancouver School District, WA","NG","154","31:1"
NA,"Richland School District Special Education Program","Richland School District, WA","NG","149","30:1"
NA,"Educational Opportunity Center","Clarkston School District, WA","NG","148","29:1"
NA,"Alternative High School","Central Kitsap School District, WA","NG","148","19:1"
NA,"Washington Youth Academy","Bremerton, WA","NG","147","—"
NA,"Special Services","Everett School District, WA","NG","146","—"
NA,"AIM High School","Snohomish School District, WA","NG","143","31:1"
NA,"Henderson Bay Alternative High School","Peninsula School District, WA","NG","143","14:1"
NA,"Sequim Community School","Sequim School District, WA","NG","142","34:1"
NA,"Port Gardner","Everett School District, WA","NG","141","40:1"
NA,"Alfaretta House","Clover Park School District, WA","NG","138","138:1"
NA,"E.B. Walker High School","Puyallup School District, WA","NG","137","15:1"
NA,"Edmonds School District Special Education Program","Edmonds School District, WA","NG","136","—"
NA,"Panorama School","Colville School District, WA","NG","133","20:1"
NA,"Lincoln Hill High School","Stanwood-Camano School District, WA","NG","130","18:1"
NA,"Stillaguamish School","Arlington School District, WA","NG","130","36:1"
NA,"Weston High School","Arlington School District, WA","NG","130","15:1"
NA,"Auburn School District Student Special Services","Auburn School District, WA","NG","128","42:1"
NA,"Choice Academy","Highline School District, WA","NG","126","19:1"
NA,"School Home Partnership Program","Marysville School District, WA","NG","126","30:1"
NA,"Mt. Vernon Special Education Program","Mount Vernon School District, WA","NG","123","61:1"
NA,"49th Street Academy","Evergreen Public Schools, WA","NG","123","12:1"
NA,"Emerson K-12","Lake Washington School District, WA","NG","121","29:1"
NA,"Partnership for Excellence in Alternative Remote Learning (PEARL)","Quilcene School District, WA","NG","119","17:1"
NA,"Two Rivers School","Snoqualmie Valley School District, WA","NG","119","18:1"
NA,"Spokane County Open Doors Reengagement Program","Spokane School District, WA","NG","117","—"
NA,"Evergreen Flex Academy","Evergreen Public Schools, WA","NG","117","17:1"
NA,"Saratoga School","Stanwood-Camano School District, WA","NG","116","58:1"
NA,"Harbor High School","Aberdeen School District, WA","NG","116","16:1"
NA,"Lincoln High School Alternative Education Program","Walla Walla Public Schools, WA","NG","114","—"
NA,"Easton School","Easton School District, WA","NG","111","10:1"
NA,"South Whidbey Academy","South Whidbey School District, WA","NG","111","21:1"
NA,"PARADE Program (Parents & Riverview Actively Delivering Education)","Riverview School District, WA","NG","105","23:1"
NA,"Mica Peak High School","Central Valley School District, WA","NG","105","7:1"
NA,"New Start High School","Highline School District, WA","NG","104","11:1"
NA,"South Lake High School","Seattle Public Schools, WA","NG","104","11:1"
NA,"Northshore Special Services","Northshore School District, WA","NG","104","—"
NA,"Russell Ridge Center","Tahoma School District, WA","NG","103","35:1"
NA,"Issaquah Special Services","Issaquah School District, WA","NG","102","—"
NA,"Bethel Acceleration Academy","Bethel School District, WA","NG","102","—"
NA,"Raymond Home Link School","Raymond School District, WA","NG","101","25:1"
NA,"Secondary Options School","Tumwater School District, WA","NG","101","22:1"
NA,"The Community School","Spokane School District, WA","NG","100","13:1"
NA,"Yakima Satellite Alternative Programs","Yakima School District, WA","NG","100","18:1"
NA,"Handicapped Contractual Services","Shoreline School District, WA","NG","97","—"
NA,"Options High School","Bellingham School District, WA","NG","96","16:1"
NA,"Thorp School","Thorp School District, WA","NG","95","6:1"
NA,"Highline Learning Center","Highline School District, WA","NG","95","—"
NA,"Selah Academy","Selah School District, WA","NG","95","16:1"
NA,"Leaders in Learning Alternative High School","Monroe School District, WA","NG","94","22:1"
NA,"Mead Alternative High School","Mead School District, WA","NG","94","15:1"
NA,"Heritage School","Marysville School District, WA","NG","91","11:1"
NA,"Lincoln High School","Port Angeles School District, WA","NG","91","22:1"
NA,"Chimacum School Pi Program","Chimacum School District, WA","NG","89","20:1"
NA,"Central Educational Services","Bellevue School District, WA","NG","89","—"
NA,"Marysville School District Special Education","Marysville School District, WA","NG","89","26:1"
NA,"Mansfield School","Mansfield School District, WA","NG","88","6:1"
NA,"Washington State School for the Deaf","Center for Childhood Deafness and Hearing Loss, WA","NG","87","4:1"
NA,"Wishram School","Wishram School District, WA","NG","86","9:1"
NA,"Marysville MOVE UP Program","Marysville School District, WA","NG","85","—"
NA,"Wenatchee Open Doors Program","Wenatchee School District, WA","NG","85","—"
NA,"Independent Scholar Program","Riverside School District, WA","NG","83","40:1"
NA,"Spokane Valley Learning Academy","Central Valley School District, WA","NG","80","19:1"
NA,"Futurus High School","Centralia School District, WA","NG","79","—"
NA,"Ocean","Port Townsend School District, WA","NG","79","30:1"
NA,"TEAM High School","Woodland School District, WA","NG","78","39:1"
NA,"HomeWorks","Cheney School District, WA","NG","78","45:1"
NA,"PACE Alternative High School","Wapato School District, WA","NG","76","12:1"
NA,"Wilson Creek High School","Wilson Creek School District, WA","NG","76","10:1"
NA,"Chief Kitsap Academy","Suquamish Tribal Education Department, WA","NG","76","7:1"
NA,"Technical Real Access to College & Career","Central Valley School District, WA","NG","75","21:1"
NA,"Desert Oasis High School","Othello School District, WA","NG","74","—"
NA,"Support School","Federal Way Public Schools, WA","NG","74","—"
NA,"Tiger Mountain Community High School","Issaquah School District, WA","NG","72","8:1"
NA,"Northport Homelink Program","Northport School District, WA","NG","71","47:1"
NA,"Wenatchee Valley Technical Skills Center","Moses Lake School District, WA","NG","71","5:1"
NA,"New Market High School","Tumwater School District, WA","NG","71","71:1"
NA,"Northport High School","Northport School District, WA","NG","70","10:1"
NA,"Home Link Alternative School","Chewelah School District, WA","NG","69","43:1"
NA,"Excelsior High School","Washougal School District, WA","NG","68","30:1"
NA,"Emerson High School","Lake Washington School District, WA","NG","68","7:1"
NA,"Tacoma Public Schools Special Education","Tacoma School District, WA","NG","67","—"
NA,"Fir Grove Children's Center","Vancouver School District, WA","NG","67","7:1"
NA,"East Side Alternative School","Central Kitsap School District, WA","NG","66","17:1"
NA,"Eagle Peak School at Pratt","Spokane School District, WA","NG","66","5:1"
NA,"Hoquiam Homelink School","Hoquiam School District, WA","NG","66","30:1"
NA,"Olympic Peninsula HomeConnection","Crescent School District, WA","NG","66","30:1"
NA,"Blaine Home Connections","Blaine School District, WA","NG","65","26:1"
NA,"Quincy High Tech High School","Quincy School District, WA","NG","62","13:1"
NA,"Lewis River Academy","Woodland School District, WA","NG","61","28:1"
NA,"Snoqualmie Access","Snoqualmie Valley School District, WA","NG","61","—"
NA,"Open Door Youth Reengagement Renton","Renton School District, WA","NG","60","—"
NA,"Contract Learning Center","Grandview School District, WA","NG","59","59:1"
NA,"Futures School","Lake Washington School District, WA","NG","59","26:1"
NA,"Special Services","Mukilteo School District, WA","NG","59","59:1"
NA,"Sage Hills High School","Ephrata School District, WA","NG","59","16:1"
NA,"Palouse High School","Palouse School District, WA","NG","58","8:1"
NA,"Burlington Edison Alternative School","Burlington-Edison School District, WA","NG","57","15:1"
NA,"Inchelium High School","Inchelium School District, WA","NG","56","9:1"
NA,"Phoenix High School","Kennewick School District, WA","NG","56","14:1"
NA,"Community IMAGES","Spokane School District, WA","NG","56","13:1"
NA,"Skill Source Learning Center","Moses Lake School District, WA","NG","55","—"
NA,"Family Link Program","Vashon Island School District, WA","NG","53","25:1"
NA,"Taholah High School","Taholah School District, WA","NG","53","5:1"
NA,"Okanogan Outreach Alternative School","Okanogan School District, WA","NG","53","53:1"
NA,"Wellpinit-Fort Semco High School","Wellpinit School District, WA","NG","53","26:1"
NA,"Cap Sante High School","Anacortes School District, WA","NG","52","26:1"
NA,"Three Springs High School","Cheney School District, WA","NG","52","18:1"
NA,"North River School","North River School District, WA","NG","52","5:1"
NA,"Community Based Trans Program","Tacoma School District, WA","NG","51","17:1"
NA,"Parent-Assisted Learning (PAL) Program","North Kitsap School District, WA","NG","51","20:1"
NA,"Phoenix Program","Puyallup School District, WA","NG","49","30:1"
NA,"North Kitsap School District Special Education Program","North Kitsap School District, WA","NG","49","—"
NA,"Naselle Homelink","Naselle-Grays River Valley School District, WA","NG","49","—"
NA,"Cva - Onalaska","Onalaska School District, WA","NG","48","43:1"
NA,"Clarkston School District Special Education Program","Clarkston School District, WA","NG","48","—"
NA,"Washington State School for the Blind","Office of the Governor (School for Blind), WA","NG","48","3:1"
NA,"Washtucna School","Washtucna School District, WA","NG","47","3:1"
NA,"Kahlotus School","Kahlotus School District, WA","NG","47","4:1"
NA,"Lincoln High School Homelink","Walla Walla Public Schools, WA","NG","46","20:1"
NA,"Gateway to College","Federal Way Public Schools, WA","NG","46","—"
NA,"Open Doors Vancouver","Vancouver School District, WA","NG","45","—"
NA,"Lind Junior/Senior High School","Lind School District, WA","NG","45","4:1"
NA,"Creston Junior/Senior High School","Creston School District, WA","NG","44","5:1"
NA,"Harrington High School","Harrington School District, WA","NG","43","6:1"
NA,"Medical Lake Alternative High School","Medical Lake School District, WA","NG","42","30:1"
NA,"Renton Academy","Renton School District, WA","NG","42","5:1"
NA,"PACE Academy","North Mason School District, WA","NG","39","14:1"
NA,"Toledo Alternative Options School","Toledo School District, WA","NG","38","27:1"
NA,"Prosser Falls Education Center","Prosser School District, WA","NG","38","38:1"
NA,"Port Angeles Special Education Program","Port Angeles School District, WA","NG","37","—"
NA,"Snoqualmie Parent Partnership Program","Snoqualmie Valley School District, WA","NG","37","—"
NA,"LaCrosse High School","School District of La Crosse, WA","NG","35","4:1"
NA,"Mount Baker Academy","Mount Baker School District, WA","NG","35","12:1"
NA,"East Grays Harbor Learning Opportunity Center","Elma School District, WA","NG","34","11:1"
NA,"Bainbridge Special Education Services","Bainbridge Island School District, WA","NG","34","—"
NA,"Smokiam Alternative High School","Soap Lake School District, WA","NG","34","34:1"
NA,"Employment Transition Program","Federal Way Public Schools, WA","NG","34","11:1"
NA,"Chelan School of Innovation","Lake Chelan School District, WA","NG","34","17:1"
NA,"Columbia Basin Technical Skills Center","Wellpinit School District, WA","NG","34","17:1"
NA,"Apolo High School","Winlock School District, WA","NG","34","34:1"
NA,"REACH Center","Tacoma School District, WA","NG","33","—"
NA,"Glenwood Secondary School","Glenwood School District, WA","NG","33","7:1"
NA,"Off-Campus Special Education","Central Valley School District, WA","NG","32","11:1"
NA,"Digital Electronic Contact Mary Walker Parent Partnership Program","Mary Walker School District, WA","NG","32","—"
NA,"Snohomish Center","Snohomish School District, WA","NG","32","—"
NA,"Maplewood Center","Edmonds School District, WA","NG","32","6:1"
NA,"Palouse Junction High School","North Franklin School District, WA","NG","32","17:1"
NA,"Arlington Special Education School","Arlington School District, WA","NG","31","31:1"
NA,"Gateway to Adult Transition Education (GATE)","Vancouver School District, WA","NG","30","15:1"
NA,"Swiftwater Learning Center","Cle Elum-Roslyn School District, WA","NG","29","29:1"
NA,"Paideia High School","Valley School District, WA","NG","29","4:1"
NA,"Central Kitsap (CK) Online Academy","Central Kitsap School District, WA","NG","29","171:1"
NA,"Forks Alternative School","Quillayute Valley School District, WA","NG","28","28:1"
NA,"Meridian Special Programs","Meridian School District, WA","NG","28","—"
NA,"Sentinel Tech Alternative School","Wahluke School District, WA","NG","27","27:1"
NA,"Loowit High School","Kelso School District, WA","NG","27","27:1"
NA,"Highlands High School","Omak School District, WA","NG","27","16:1"
NA,"Gar-Pal High School","Garfield School District, WA","NG","26","52:1"
NA,"Vancouver Alternative Programs","Vancouver School District, WA","NG","26","18:1"
NA,"Okanogan Alternative High School","Okanogan School District, WA","NG","25","25:1"
NA,"Columbia Gorge School","Stevenson-Carson School District, WA","NG","24","15:1"
NA,"Student Link Program","Vashon Island School District, WA","NG","24","—"
NA,"Cva-Lopez Island","Lopez School District, WA","NG","24","48:1"
NA,"Vancouver Contracted Programs","Vancouver School District, WA","NG","23","—"
NA,"iGrad Academy","Oak Harbor School District, WA","NG","22","—"
NA,"A-3 Multiagency Adolescent Program","Spokane School District, WA","NG","22","7:1"
NA,"Bellingham Re-Engagement Program","Bellingham School District, WA","NG","22","—"
NA,"Pend Oreille River School","Newport School District, WA","NG","22","19:1"
NA,"Enumclaw School District Special Education Program","Enumclaw School District, WA","NG","21","21:1"
NA,"Holistic Educational Alternatives for Rochester Teens (HEART) High School","Rochester School District, WA","NG","20","20:1"
NA,"South Bend Home Link","South Bend School District, WA","NG","20","—"
NA,"Brewster Alternative School","Brewster School District, WA","NG","20","—"
NA,"REACH K-8 Home School Program","Methow Valley School District, WA","NG","19","14:1"
NA,"White Salmon Academy","White Salmon Valley School District, WA","NG","19","—"
NA,"Methow Valley Independent Learning Center","Methow Valley School District, WA","NG","19","13:1"
NA,"Puget Sound High School","Highline School District, WA","NG","18","30:1"
NA,"Northshore Online School","Northshore School District, WA","NG","18","—"
NA,"Holden Village Community School","Lake Chelan School District, WA","NG","18","8:1"
NA,"Day Reporting School","Tacoma School District, WA","NG","18","9:1"
NA,"Spokane Valley Tech","Central Valley School District, WA","NG","17","2:1"
NA,"Ellensburg Learning Center","Ellensburg School District, WA","NG","17","17:1"
NA,"Bridgeport Aurora High School","Bridgeport School District, WA","NG","17","17:1"
NA,"Granite Falls Open Doors Program","Granite Falls School District, WA","NG","16","—"
NA,"Kelso School District Special Education Program","Kelso School District, WA","NG","16","—"
NA,"District Run Home School","Quillayute Valley School District, WA","NG","15","15:1"
NA,"Highline Homeschool Center","Highline School District, WA","NG","15","—"
NA,"Skykomish High School","Skykomish School District, WA","NG","15","4:1"
NA,"Transition Day Students","Clover Park School District, WA","NG","14","—"
NA,"Kelso Virtual Academy","Kelso School District, WA","NG","14","19:1"
NA,"Gates Open Doors Program","Franklin Pierce School District, WA","NG","13","—"
NA,"Merit School","Federal Way Public Schools, WA","NG","13","6:1"
NA,"Parents As Partners Program","Port Angeles School District, WA","NG","12","—"
NA,"North Mason Homelink Program","North Mason School District, WA","NG","12","6:1"
NA,"Wellpinit Alliance High School","Wellpinit School District, WA","NG","11","11:1"
NA,"Excelsior Youth Center School","Spokane School District, WA","NG","11","11:1"
NA,"Mossyrock Academy","Mossyrock School District, WA","NG","11","—"
